Year,Month,Plant,Type of Water,MG Treated
2016,Apr,SAR Plant,Wastewater,1570.76
2016,Apr,Davis,Water,1161.9
2016,Apr,Ullrich,Water,1642.46
2016,Apr,Water Treatment Plant 4,Water,625.09
2016,May,Walnut Creek Plant,Wastewater,2231.39
2016,May,SAR Plant,Wastewater,1874.2
2016,May,Water Treatment Plant 4,Water,794.85
2016,May,Davis,Water,1207.3
2016,May,Ullrich,Water,1522.92
2016,Jun,SAR Plant,Wastewater,1710.98
2016,Jun,Walnut Creek Plant,Wastewater,2004.46
2016,Jun,Water Treatment Plant 4,Water,1014.97
2016,Jun,Ullrich,Water,1732.34
2016,Jun,Davis,Water,1219.9
2016,Jul,Walnut Creek Plant,Wastewater,1651.1
2016,Jul,SAR Plant,Wastewater,1400.54
2016,Jul,Water Treatment Plant 4,Water,1006.17
2016,Jul,Davis,Water,1760.94
2016,Jul,Ullrich,Water,2241.63
2016,Aug,SAR Plant,Wastewater,1651.72
2016,Aug,Walnut Creek Plant,Wastewater,2025.07
2016,Aug,Water Treatment Plant 4,Water,949
2016,Aug,Davis,Water,1502.52
2016,Aug,Ullrich,Water,1981.3
2016,Sep,SAR Plant,Wastewater,1390
2016,Sep,Walnut Creek Plant,Wastewater,1692.92
2016,Sep,Ullrich,Water,1986.19
2016,Sep,Davis,Water,1420.1
2016,Sep,Water Treatment Plant 4,Water,892.57
2016,Oct,Walnut Creek Plant,Wastewater,1601.07
2016,Oct,SAR Plant,Wastewater,1291.86
2016,Oct,Water Treatment Plant 4,Water,677.14
2016,Oct,Ullrich,Water,2110.69
2016,Oct,Davis,Water,1655.4
2016,Nov,Walnut Creek Plant,Wastewater,1648.08
2016,Nov,SAR Plant,Wastewater,1210.64
2016,Nov,Davis,Water,1235.99
2016,Nov,Ullrich,Water,1687.94
2016,Nov,Water Treatment Plant 4,Water,729.58
2016,Dec,SAR Plant,Wastewater,1221.8
2016,Dec,Walnut Creek Plant,Wastewater,1737.72
2016,Dec,Water Treatment Plant 4,Water,646.77
2016,Dec,Davis,Water,1044.33
2016,Dec,Ullrich,Water,1787.96
2017,Jan,Walnut Creek Plant,Wastewater,1957.24
2017,Jan,SAR Plant,Wastewater,1556.17
2017,Jan,Water Treatment Plant 4,Water,714.1
2017,Jan,Ullrich,Water,1707.86
2017,Jan,Davis,Water,1036.3
2017,Feb,SAR Plant,Wastewater,1348.94
2017,Feb,Walnut Creek Plant,Wastewater,1678.15
2017,Feb,Davis,Water,839.35
2017,Feb,Ullrich,Water,1652.66
2017,Feb,Water Treatment Plant 4,Water,718.14
2017,Mar,Walnut Creek Plant,Wastewater,1950.11
2017,Mar,SAR Plant,Wastewater,1530.52
2017,Mar,Water Treatment Plant 4,Water,844.99
2017,Mar,Ullrich,Water,1815.8
2017,Mar,Davis,Water,994.72
2017,Apr,Walnut Creek Plant,Wastewater,1746.69
2017,Apr,SAR Plant,Wastewater,1453.78
2017,Apr,Davis,Water,1014.54
2017,Apr,Water Treatment Plant 4,Water,785.26
2017,Apr,Ullrich,Water,1966.02
2017,May,Walnut Creek Plant,Wastewater,1728.85
2017,May,SAR Plant,Wastewater,1393.45
2017,May,Water Treatment Plant 4,Water,981.17
2017,May,Ullrich,Water,2015.98
2017,May,Davis,Water,1249
2017,Jun,SAR Plant,Wastewater,1369.12
2017,Jun,Walnut Creek Plant,Wastewater,1762.5
2017,Jun,Davis,Water,1147.22
2017,Jun,Water Treatment Plant 4,Water,964.46
2017,Jun,Ullrich,Water,2234.41
2017,Jul,Walnut Creek Plant,Wastewater,1587
2017,Jul,SAR Plant,Wastewater,1376.46
2017,Jul,Ullrich,Water,2729.14
2017,Jul,Davis,Water,1382.8
2017,Jul,Water Treatment Plant 4,Water,1029.22
2017,Aug,SAR Plant,Wastewater,1549.58
2017,Aug,Walnut Creek Plant,Wastewater,1994.42
2017,Aug,Water Treatment Plant 4,Water,912.35
2017,Aug,Davis,Water,1740.3
2017,Aug,Ullrich,Water,2197.32
2017,Sep,SAR Plant,Wastewater,1343.97
2017,Sep,Walnut Creek Plant,Wastewater,1771.07
2017,Sep,Ullrich,Water,2046.47
2017,Sep,Water Treatment Plant 4,Water,882.54
2017,Sep,Davis,Water,1435.76
2017,Oct,Walnut Creek Plant,Wastewater,1732.86
2017,Oct,SAR Plant,Wastewater,1327.43
2017,Oct,Ullrich,Water,1918.64
2017,Oct,Davis,Water,1370.3
2017,Oct,Water Treatment Plant 4,Water,858.57
2017,Nov,SAR Plant,Wastewater,1182.15
2017,Nov,Walnut Creek Plant,Wastewater,1575.42
2017,Nov,Ullrich,Water,1809.87
2017,Nov,Davis,Water,1230
2017,Nov,Water Treatment Plant 4,Water,737.69
2017,Dec,Walnut Creek Plant,Wastewater,1714.24
2017,Dec,SAR Plant,Wastewater,1284.36
2017,Dec,Ullrich,Water,1591.5
2017,Dec,Davis,Water,1931.3
2017,Dec,Water Treatment Plant 4,Water,708.56
2018,Jan,SAR Plant,Wastewater,1353.95
2018,Jan,Walnut Creek Plant,Wastewater,1664.97
2018,Jan,Ullrich,Water,1683.06
2018,Jan,Water Treatment Plant 4,Water,718.63
2018,Jan,Davis,Water,1203.43
2018,Feb,Walnut Creek Plant,Wastewater,1538.27
2018,Feb,SAR Plant,Wastewater,1192.16
2018,Feb,Davis,Water,1083.52
2018,Feb,Water Treatment Plant 4,Water,614.4
2018,Feb,Ullrich,Water,1407.74
2018,Mar,SAR Plant,Wastewater,1443.13
2018,Mar,Walnut Creek Plant,Wastewater,1810.19
2018,Mar,Ullrich,Water,1674.31
2018,Mar,Davis,Water,1211.7
2018,Mar,Water Treatment Plant 4,Water,792.5
2018,Apr,SAR Plant,Wastewater,1364.07
2018,Apr,Walnut Creek Plant,Wastewater,1712.54
2018,Apr,Ullrich,Water,1745.76
2018,Apr,Water Treatment Plant 4,Water,823.67
2018,Apr,Davis,Water,1229.9
2018,May,Walnut Creek Plant,Wastewater,1725.1
2018,May,SAR Plant,Wastewater,1485.95
2018,May,Davis,Water,1219.14
2018,May,Water Treatment Plant 4,Water,1048.59
2018,May,Ullrich,Water,2144.19
2018,Jun,Walnut Creek Plant,Wastewater,1606.64
2018,Jun,SAR Plant,Wastewater,1274.02
2018,Jun,Davis,Water,1370.82
2018,Jun,Ullrich,Water,2328.72
2018,Jun,Water Treatment Plant 4,Water,967.84
2018,Jul,Walnut Creek Plant,Wastewater,1680.19
2018,Jul,SAR Plant,Wastewater,1310.14
2018,Jul,Ullrich,Water,2521.1
2018,Jul,Davis,Water,1487.75
2018,Jul,Water Treatment Plant 4,Water,958.21
2018,Aug,Walnut Creek Plant,Wastewater,1590.18
2018,Aug,SAR Plant,Wastewater,1125.73
2018,Aug,Water Treatment Plant 4,Water,1110.61
2018,Aug,Davis,Water,1556.63
2018,Aug,Ullrich,Water,2818.69
2018,Sep,SAR Plant,Wastewater,1293.81
2018,Sep,Walnut Creek Plant,Wastewater,1832.61
2018,Sep,Water Treatment Plant 4,Water,
2018,Sep,Davis,Water,1369.2
2018,Sep,Ullrich,Water,
