%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
1999 152 6 30 -999.00 -999.00 -999.00 -999.00 -999.00 4.92 93.10 24.54 99999.00 99999.00 0.07 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 6 35 -999.00 -999.00 -999.00 -999.00 -999.00 5.81 92.70 24.51 99999.00 99999.00 0.07 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 6 40 -999.00 -999.00 -999.00 -999.00 -999.00 5.81 92.90 24.51 101.56 0.00 0.06 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 6 45 -999.00 -999.00 -999.00 -999.00 -999.00 6.26 92.70 24.55 99999.00 99999.00 0.07 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 6 50 -999.00 -999.00 -999.00 -999.00 -999.00 4.92 92.50 24.47 101.59 0.00 0.06 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 6 55 -999.00 -999.00 -999.00 -999.00 -999.00 5.81 92.70 24.48 99999.00 99999.00 0.06 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.15 91.90 24.56 101.63 0.00 0.08 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 7 5 -999.00 -999.00 -999.00 -999.00 -999.00 5.81 91.20 24.61 101.63 0.00 0.10 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 7 10 -999.00 -999.00 -999.00 -999.00 -999.00 4.92 90.80 24.69 101.63 0.00 0.14 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 7 15 -999.00 -999.00 -999.00 -999.00 -999.00 6.26 90.20 24.73 101.52 0.00 0.11 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 7 20 -999.00 -999.00 -999.00 -999.00 -999.00 4.47 89.50 24.75 101.49 0.00 0.15 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 7 25 -999.00 -999.00 -999.00 -999.00 -999.00 7.60 88.60 24.81 101.42 0.00 0.16 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 7 30 -999.00 -999.00 -999.00 -999.00 -999.00 7.60 87.40 24.94 101.35 0.00 0.23 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 7 35 -999.00 -999.00 -999.00 -999.00 -999.00 6.26 86.90 25.03 101.35 0.00 0.20 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
